type,target,model,accuracy
Baseline,label_1d,LR,0.5103
Baseline,label_1d,RF,0.5017
Baseline,label_1d,GB,0.4932
Baseline,label_3d,LR,0.5
Baseline,label_3d,RF,0.5291
Baseline,label_3d,GB,0.5308
Baseline,label_5d,LR,0.5051
Baseline,label_5d,RF,0.4966
Baseline,label_5d,GB,0.4966
Topic,label_1d,LR,0.5212
Topic,label_1d,RF,0.4882
Topic,label_1d,GB,0.5353
Topic,label_3d,LR,0.5196
Topic,label_3d,RF,0.5259
Topic,label_3d,GB,0.5275
Topic,label_5d,LR,0.4772
Topic,label_5d,RF,0.4725
Topic,label_5d,GB,0.5086
Emotion,label_1d,LR,0.4961
Emotion,label_1d,RF,0.4914
Emotion,label_1d,GB,0.4772
Emotion,label_3d,LR,0.5369
Emotion,label_3d,RF,0.5149
Emotion,label_3d,GB,0.5338
Emotion,label_5d,LR,0.4851
Emotion,label_5d,RF,0.5055
Emotion,label_5d,GB,0.4694
Topic+Emotion,label_1d,LR,0.5159
Topic+Emotion,label_1d,RF,0.487
Topic+Emotion,label_1d,GB,0.4609
Topic+Emotion,label_3d,LR,0.5246
Topic+Emotion,label_3d,RF,0.5072
Topic+Emotion,label_3d,GB,0.5217
Topic+Emotion,label_5d,LR,0.4667
Topic+Emotion,label_5d,RF,0.5043
Topic+Emotion,label_5d,GB,0.4986
